id;name;description;value;aidas_object_id;aidas_properties_id
1;Turkey Assimilated;bypassing Towels;Producer bandwidth;1;1
2;infrastructure program;Antillian;SCSI Dynamic;2;2
3;Fantastic;productivity generating 24/365;driver;3;3
4;Greens De-engineered Small;time-frame Grocery Adaptive;SMS;4;4
5;Administrator;online;analyzing Profound;5;5
6;Pine orange;Persevering;drive Shirt;6;6
7;Computers real-time CFA;Soft capability;Chicken;7;7
8;Granite program;Consultant tan;Optimized;8;8
9;world-class Quality;Generic Myanmar Account;Plastic Nevada;9;9
10;index neural;Account Berkshire;Usability;10;10
