id;name;description;value;aidas_project_id
1;Re-engineered open-source attitude;zero Infrastructure next-generation;Intelligent Cotton;1
2;auxiliary Producer as;silver Program;Dynamic Handcrafted Chips;2
3;Program task-force;Cheese Account hard;Bedfordshire Avon Rand;3
4;Dinar;International mesh Virginia;supply-chains;4
5;program firmware Director;Ringgit;Orchestrator Glens;5
6;Dollar Industrial;compress;web-enabled auxiliary;6
7;Money Israel;Principal customized Fork;Dynamic Loan bypass;7
8;Engineer;Handcrafted quantify robust;Director Electronics Central;8
9;Metal Planner;auxiliary;Avon online;9
10;partnerships Credit Steel;expedite Handcrafted;Plastic;10
