id;name;description;status;buffer_percent;is_dummy;number_of_upload_reqd;project_id
-1;Default Object;Default Object;0;0;1;-1;-1
1;Obj-1::Programming;Obj-1::Programming;1;20;0;100;1
2;Obj-1::Psychodrama;Obj-1::Psychodrama;1;20;0;100;1
3;Obj-1::Soccer;Obj-1::Soccer;1;20;0;100;1
4;Obj-1::Gold;Obj-1::Gold;1;20;0;100;1
5;Obj-1::Bakeries;Obj-1::Bakeries;1;20;0;100;2
6;Obj-1::Caves;Obj-1::Caves;1;20;0;100;2
7;Obj-1::Forensic psychology;Obj-1::Forensic psychology;1;20;0;100;2
8;Obj-1::Cooking;Obj-1::Cooking;1;20;0;100;2
9;Obj-1::Mathematical statistical and computing;Obj-1::Mathematical statistical and computing;1;20;0;100;2
10;Obj-1::Emotional intelligence;Obj-1::Emotional intelligence;1;20;0;100;3
11;Obj-1::Cats;Obj-1::Cats;1;20;0;100;3
12;Obj-1::Goats;Obj-1::Goats;1;20;0;100;3
13;Obj-1::Typewriter;Obj-1::Typewriter;1;20;0;100;3
14;Obj-1::Monkeys;Obj-1::Monkeys;1;20;0;100;3
15;Obj-1::Gymnastics;Obj-1::Gymnastics;1;20;0;100;4
16;Obj-1::Chess;Obj-1::Chess;1;20;0;100;4
17;Obj-1::Algebra;Obj-1::Algebra;1;20;0;100;4
18;Obj-1::Hobbies;Obj-1::Hobbies;1;20;0;100;4
19;Obj-1::Developmental disabilities;Obj-1::Developmental disabilities;1;20;0;100;4
20;Obj-1::Botany;Obj-1::Botany;1;20;0;100;5
21;Obj-1::Foxes;Obj-1::Foxes;1;20;0;100;5
22;Obj-1::End of life;Obj-1::End of life;1;20;0;100;5
23;Obj-1::Laundry;Obj-1::Laundry;1;20;0;100;5
24;Obj-1::Spiritual;Obj-1::Spiritual;1;20;0;100;5
25;Obj-1::Pipe Organs;Obj-1::Pipe Organs;1;20;0;100;6
26;Obj-1::Crocodiles;Obj-1::Crocodiles;1;20;0;100;6
27;Obj-1::Neuropsychology;Obj-1::Neuropsychology;1;20;0;100;6
28;Obj-1::Ecology;Obj-1::Ecology;1;20;0;100;6
29;Obj-1::Philosophy;Obj-1::Philosophy;1;20;0;100;6
30;Obj-1::Cricket;Obj-1::Cricket;1;20;0;100;7
31;Obj-1::Social psychology;Obj-1::Social psychology;1;20;0;100;7
32;Obj-1::Bohemians;Obj-1::Bohemians;1;20;0;100;7
33;Obj-1::Programming;Obj-1::Programming;1;20;0;100;7
34;Obj-1::Community music therapy;Obj-1::Community music therapy;1;20;0;100;7
35;Obj-1::Machines;Obj-1::Machines;1;20;0;100;8
36;Obj-1::Earth sciences;Obj-1::Earth sciences;1;20;0;100;8
37;Obj-1::Rabbits;Obj-1::Rabbits;1;20;0;100;8
38;Obj-1::People and self;Obj-1::People and self;1;20;0;100;8
39;Obj-1::Barbers;Obj-1::Barbers;1;20;0;100;8
40;Obj-1::Rugby;Obj-1::Rugby;1;20;0;100;9
41;Obj-1::Autobiography;Obj-1::Autobiography;1;20;0;100;9
42;Obj-1::Ecology;Obj-1::Ecology;1;20;0;100;9
