id;name;description
-1;Default;Default Organisation
1;Scrubs and Bugs;Scrubs and Bugs
2;Alss Data Science;Alss Data Science
3;Langford Thomson;Langford Thomson
4;Zestbook Services;Zestbook Services
5;Travis McEnaney;Travis McEnaney
6;All My Life Data;All My Life Data
7;WakeUp Research;WakeUp Research
8;The Dataparallel;The Dataparallel
9;Wooey Doody;Wooey Doody
10;ScribeDot Solutions;ScribeDot Solutions
11;A FactCheck;A FactCheck
12;BlokeyCrazy;BlokeyCrazy
13;SmartAsset dot com;SmartAsset dot com
14;Sensational Research;Sensational Research
15;My Data Funding;My Data Funding
16;Bridges to the Net;Bridges to the Net
17;Smartphone Lapse;Smartphone Lapse
18;Koolitop;Koolitop
19;Adrenvish;Adrenvish
20;AllsourceData;AllsourceData
