id;name;description;status;auto_create_objects;buffer_percent;external_dataset_status;num_of_objects;num_of_uploads_reqd;object_prefix;object_suffix;project_type;qc_levels;rework_status;customer_id
-1;Default Project;Default Project;1;0;10;0;10;10;pre;suf;image;1;1;-1
1;Programming;Programming;1;0;10;0;10;10;pre;suf;image;1;1;1
2;Psychodrama;Psychodrama;1;0;10;0;10;10;pre;suf;image;1;1;1
3;Soccer;Soccer;1;0;10;0;10;10;pre;suf;image;1;1;1
4;Gold;Gold;1;0;10;0;10;10;pre;suf;image;1;1;1
5;Bakeries;Bakeries;1;0;10;0;10;10;pre;suf;image;1;1;2
6;Caves;Caves;1;0;10;0;10;10;pre;suf;image;1;1;2
7;Forensic psychology;Forensic psychology;1;0;10;0;10;10;pre;suf;image;1;1;2
8;Cooking;Cooking;1;0;10;0;10;10;pre;suf;image;1;1;2
9;Mathematical statistical and computing;Mathematical statistical and computing;1;0;10;0;10;10;pre;suf;image;1;1;2
10;Emotional intelligence;Emotional intelligence;1;0;10;0;10;10;pre;suf;image;1;1;3
11;Cats;Cats;1;0;10;0;10;10;pre;suf;image;1;1;3
12;Goats;Goats;1;0;10;0;10;10;pre;suf;image;1;1;3
13;Typewriter;Typewriter;1;0;10;0;10;10;pre;suf;image;1;1;3
14;Monkeys;Monkeys;1;0;10;0;10;10;pre;suf;image;1;1;3
15;Gymnastics;Gymnastics;1;0;10;0;10;10;pre;suf;image;1;1;4
16;Chess;Chess;1;0;10;0;10;10;pre;suf;image;1;1;4
17;Algebra;Algebra;1;0;10;0;10;10;pre;suf;image;1;1;4
18;Hobbies;Hobbies;1;0;10;0;10;10;pre;suf;image;1;1;4
19;Developmental disabilities;Developmental disabilities;1;0;10;0;10;10;pre;suf;image;1;1;4
20;Botany;Botany;1;0;10;0;10;10;pre;suf;image;1;1;5
21;Foxes;Foxes;1;0;10;0;10;10;pre;suf;image;1;1;5
22;End of life;End of life;1;0;10;0;10;10;pre;suf;image;1;1;5
23;Laundry;Laundry;1;0;10;0;10;10;pre;suf;image;1;1;5
24;Spiritual;Spiritual;1;0;10;0;10;10;pre;suf;image;1;1;5
25;Pipe Organs;Pipe Organs;1;0;10;0;10;10;pre;suf;image;1;1;6
26;Crocodiles;Crocodiles;1;0;10;0;10;10;pre;suf;image;1;1;6
27;Neuropsychology;Neuropsychology;1;0;10;0;10;10;pre;suf;image;1;1;6
28;Ecology;Ecology;1;0;10;0;10;10;pre;suf;image;1;1;6
29;Philosophy;Philosophy;1;0;10;0;10;10;pre;suf;image;1;1;6
30;Cricket;Cricket;1;0;10;0;10;10;pre;suf;image;1;1;7
31;Social psychology;Social psychology;1;0;10;0;10;10;pre;suf;image;1;1;7
32;Bohemians;Bohemians;1;0;10;0;10;10;pre;suf;image;1;1;7
33;Programming;Programming;1;0;10;0;10;10;pre;suf;image;1;1;7
34;Community music therapy;Community music therapy;1;0;10;0;10;10;pre;suf;image;1;1;7
35;Machines;Machines;1;0;10;0;10;10;pre;suf;image;1;1;8
36;Earth sciences;Earth sciences;1;0;10;0;10;10;pre;suf;image;1;1;8
37;Rabbits;Rabbits;1;0;10;0;10;10;pre;suf;image;1;1;8
38;People and self;People and self;1;0;10;0;10;10;pre;suf;image;1;1;8
39;Barbers;Barbers;1;0;10;0;10;10;pre;suf;image;1;1;8
40;Rugby;Rugby;1;0;10;0;10;10;pre;suf;image;1;1;9
41;Autobiography;Autobiography;1;0;10;0;10;10;pre;suf;image;1;1;9
42;Ecology;Ecology;1;0;10;0;10;10;pre;suf;image;1;1;9
43;Fencing;Fencing;1;0;10;0;10;10;pre;suf;image;1;1;9
44;Magicians;Magicians;1;0;10;0;10;10;pre;suf;image;1;1;9
45;X-Rays;X-Rays;1;0;10;0;10;10;pre;suf;image;1;1;10
46;Infancy and early childhood;Infancy and early childhood;1;0;10;0;10;10;pre;suf;image;1;1;10
47;Logic;Logic;1;0;10;0;10;10;pre;suf;image;1;1;10
48;Cotton;Cotton;1;0;10;0;10;10;pre;suf;image;1;1;10
49;Fencing;Fencing;1;0;10;0;10;10;pre;suf;image;1;1;10
50;Magicians;Magicians;1;0;10;0;10;10;pre;suf;image;1;1;11
51;X-Rays;X-Rays;1;0;10;0;10;10;pre;suf;image;1;1;11
52;Infancy and early childhood;Infancy and early childhood;1;0;10;0;10;10;pre;suf;image;1;1;11
53;Logic;Logic;1;0;10;0;10;10;pre;suf;image;1;1;11
54;Cotton;Cotton;1;0;10;0;10;10;pre;suf;image;1;1;11
55;Software engineering;Software engineering;1;0;10;0;10;10;pre;suf;image;1;1;12
56;Oil;Oil;1;0;10;0;10;10;pre;suf;image;1;1;12
