id;name;description
-1;Default Vendor;Default vendor for all new registered user
1;LizBulk;LizBulk
2;Q.B. Web Tools;Q.B. Web Tools
3;Cnn Insights;Cnn Insights
4;Vegas News 24;Vegas News 24
5;Research HCI;Research HCI
6;Able Health Records;Able Health Records
7;A Thousand Looms;A Thousand Looms
8;Q4 News24;Q4 News24
9;Critello;Critello
10;Trimps & Twigs;Trimps & Twigs
11;Randi Data;Randi Data
12;Survey and Data;Survey and Data
13;We Rate Our Data;We Rate Our Data
14;Grupo Revolucionaria;Grupo Revolucionaria
15;Zoomin' Clues;Zoomin' Clues
16;We Source Our Juice;We Source Our Juice
17;Lunamet Graphics Pty;Lunamet Graphics Pty
18;Go! You Money Guru;Go! You Money Guru
19;Datapoints Finder;Datapoints Finder
20;Fluffy the Flower;Fluffy the Flower
21;Vizualious;Vizualious
22;BAMF Tempe Data Bank;BAMF Tempe Data Bank
23;QuadCityResearch;QuadCityResearch
24;Totally Tailed;Totally Tailed
25;Virtusson;Virtusson
26;Clarence K. Paddyny;Clarence K. Paddyny
27;Go Data Doctors;Go Data Doctors
28;Truly Big Data;Truly Big Data
29;Scribbly the Scuba;Scribbly the Scuba
30;Dunn C & L N;Dunn C & L N
31;Stride 'n Snooze;Stride 'n Snooze
32;The Internet Key;The Internet Key
33;Honest-1 Data Corp;Honest-1 Data Corp
34;Data Science Logs;Data Science Logs
35;Logic2Learn;Logic2Learn
36;Downtown Dataminr;Downtown Dataminr
37;Uruknet Systems;Uruknet Systems
38;Xcel Data Science;Xcel Data Science
39;Shrinkwrap Labs;Shrinkwrap Labs
40;A.A.D.M.S. Research;A.A.D.M.S. Research
41;Nimbin Media;Nimbin Media
42;Saving Fireflies;Saving Fireflies
43;Stash Me Not;Stash Me Not
44;The Data Snob;The Data Snob
45;Rapid Hit Data;Rapid Hit Data
46;Las Vegas Coding;Las Vegas Coding
47;Acme Data Solutions;Acme Data Solutions
48;Brunetec;Brunetec
49;BakkiKokai;BakkiKokai
50;Watmote.com;Watmote.com
